Time [sec], Input Angle [rad], Input Speed [rpm], Input Voltage [V], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
3.82736, 0, 0, 3.82736, 0.193484, 1, 0, 
3.83733, 0, 0, 3.83733, 0.192264, 1, 0, 
3.8473, 0, 0, 3.8473, 0.188602, 1, 0, 
3.85727, 0, 0, 3.85727, 0.189822, 1, 0, 
3.86725, 0, 0, 3.86725, 0.188602, 1, 0, 
3.87722, 0, 0, 3.87722, 0.189822, 1, 0, 
3.88719, 0, 0, 3.88719, 0.191043, 1, 0, 
3.89716, 0, 0, 3.89716, 0.193484, 1, 0, 
3.90714, 0, 0, 3.90714, 0.189822, 1, 0, 
3.91711, 0, 0, 3.91711, 0.197147, 1, 0, 
3.92708, 0, 0, 3.92708, 0.193484, 1, 0, 
3.93705, 0, 0, 3.93705, 0.194705, 1, 0, 
3.94703, 0, 0, 3.94703, 0.198367, 1, 0, 
3.957, 0, 0, 3.957, 0.191043, 1, 0, 
3.96697, 0, 0, 3.96697, 0.198367, 1, 0, 
3.97694, 0, 0, 3.97694, 0.194705, 1, 0, 
3.98691, 0, 0, 3.98691, 0.195926, 1, 0, 
3.99689, 0, 0, 3.99689, 0.193484, 1, 0, 
4.00686, 0, 0, 4.00686, 0.197147, 1, 0, 
4.01683, 0, 0, 4.01683, 0.193484, 1, 0, 
4.0268, 0, 0, 4.0268, 0.195926, 1, 0, 
4.03678, 0, 0, 4.03678, 0.195926, 1, 0, 
4.04675, 0, 0, 4.04675, 0.193484, 1, 0, 
4.05672, 0, 0, 4.05672, 0.200809, 1, 0, 
4.06669, 0, 0, 4.06669, 0.198367, 1, 0, 
4.07667, 0, 0, 4.07667, 0.197147, 1, 0, 
4.08664, 0, 0, 4.08664, 0.197147, 1, 0, 
4.09661, 0, 0, 4.09661, 0.202029, 1, 0, 
4.10658, 0, 0, 4.10658, 0.200809, 1, 0, 
4.11655, 0, 0, 4.11655, 0.20325, 1, 0, 
4.12653, 0, 0, 4.12653, 0.197147, 1, 0, 
4.1365, 0, 0, 4.1365, 0.198367, 1, 0, 
4.14647, 0, 0, 4.14647, 0.199588, 1, 0, 
4.15644, 0, 0, 4.15644, 0.198367, 1, 0, 
4.16642, 0, 0, 4.16642, 0.199588, 1, 0, 
4.17639, 0, 0, 4.17639, 0.204471, 1, 0, 
4.18636, 0, 0, 4.18636, 0.200809, 1, 0, 
4.19633, 0, 0, 4.19633, 0.200809, 1, 0, 
4.2063, 0, 0, 4.2063, 0.202029, 1, 0, 
4.21628, 0, 0, 4.21628, 0.200809, 1, 0, 
4.22625, 0, 0, 4.22625, 0.200809, 1, 0, 
4.23622, 0, 0, 4.23622, 0.205692, 1, 0, 
4.24619, 0, 0, 4.24619, 0.200809, 1, 0, 
4.25617, 0, 0, 4.25617, 0.202029, 1, 0, 
4.26614, 0, 0, 4.26614, 0.202029, 1, 0, 
4.27611, 0, 0, 4.27611, 0.202029, 1, 0, 
4.28608, 0, 0, 4.28608, 0.205692, 1, 0, 
4.29605, 0, 0, 4.29605, 0.202029, 1, 0, 
